entry_ts,exit_ts,symbol,side,opt_type,strike,lots,qty,premium_in,premium_out,capital_locked,gross,cost,net,exit_reason
2026-06-03 13:20:00,2026-06-03 13:45:00,BANKNIFTY,long,CE,53700.0,1,30,1326.54975,1428.8697499999998,39796.4925,3069.599999999998,109.45165459789,2960.148345402108,SL
2026-06-03 14:25:00,2026-06-03 15:15:00,NIFTY,long,CE,23450.0,2,130,453.55649999999997,417.9,58962.344999999994,-4635.344999999999,129.88553069023,-4765.230530690229,TIME
2026-06-04 13:15:00,2026-06-04 14:00:00,NIFTY,short,PE,23350.0,3,195,361.79999999999995,317.55424999999997,70550.99999999999,-8627.921249999998,142.93346397930247,-8770.8547139793,OI_FLIP
2026-06-05 10:05:00,2026-06-05 10:25:00,BANKNIFTY,long,CE,54600.0,2,60,1219.4669999999999,1215.89,73168.01999999999,-214.61999999998625,155.56321231828,-370.1832123182662,OI_FLIP
2026-06-05 11:10:00,2026-06-05 11:35:00,BANKNIFTY,long,CE,54800.0,2,60,1222.8839999999998,1077.8835,73373.04,-8700.029999999992,147.04660374070002,-8847.076603740692,SL
2026-06-05 11:10:00,2026-06-05 11:40:00,NIFTY,long,CE,23450.0,2,130,429.93899999999996,385.81125,55892.06999999999,-5736.607499999999,124.18423399985501,-5860.791733999854,OI_FLIP
2026-06-05 13:45:00,2026-06-05 14:40:00,NIFTY,short,PE,23300.0,3,195,345.318,273.9235,67337.01,-13921.927499999998,132.660384774895,-14054.587884774894,SL
2026-06-08 11:20:00,2026-06-08 11:30:00,BANKNIFTY,short,PE,54100.0,2,60,1014.8992499999999,997.23875,60893.954999999994,-1059.6299999999974,136.46924859652,-1196.0992485965173,OI_FLIP
2026-06-09 11:25:00,2026-06-09 12:20:00,NIFTY,short,PE,23100.0,3,195,326.37375,277.25674999999995,63642.88124999999,-9577.815000000004,131.69389915271498,-9709.50889915272,SL
2026-06-10 11:30:00,2026-06-10 11:45:00,BANKNIFTY,long,CE,55400.0,2,60,1026.9089999999999,1038.33225,61614.53999999999,685.3950000000032,139.35265855465,546.0423414453531,OI_FLIP
2026-06-11 11:50:00,2026-06-11 13:10:00,BANKNIFTY,long,CE,55400.0,2,60,955.2524999999999,946.3445,57315.149999999994,-534.4799999999941,131.70396989788,-666.1839698978741,SL
2026-06-12 13:30:00,2026-06-12 14:15:00,BANKNIFTY,long,CE,56100.0,2,60,853.7977499999998,1161.9112499999999,51227.86499999999,18486.81,142.44330270135998,18344.366697298643,TGT
2026-06-12 13:35:00,2026-06-12 14:55:00,NIFTY,long,CE,23450.0,3,195,294.71624999999995,407.552,57469.66874999999,22002.971250000013,155.36173307787251,21847.60951692214,TGT
2026-06-16 13:25:00,2026-06-16 15:05:00,BANKNIFTY,long,CE,57200.0,3,90,726.2632499999999,731.325,65363.69249999999,455.55750000001694,144.677731911295,310.8797680887219,OI_FLIP
2026-06-23 12:00:00,2026-06-23 12:15:00,BANKNIFTY,short,PE,57500.0,6,180,379.18649999999997,381.43325000000004,68253.56999999999,404.41500000001383,148.91334226537003,255.5016577346438,OI_FLIP
2026-06-23 12:00:00,2026-06-23 12:25:00,NIFTY,short,PE,24000.0,7,455,153.564,173.08024999999998,69871.62,8879.893749999994,160.12518681967245,8719.768563180322,OI_FLIP
2026-06-24 11:45:00,2026-06-24 14:20:00,BANKNIFTY,long,CE,58000.0,5,150,437.62724999999995,498.495,65644.0875,9130.16250000001,154.11140399222498,8976.051096007785,OI_FLIP
2026-06-24 13:35:00,2026-06-24 14:30:00,NIFTY,long,CE,24050.0,6,390,172.05599999999998,148.3545,67101.84,-9243.584999999994,137.17467259573002,-9380.759672595723,OI_FLIP
