entry_ts,exit_ts,symbol,side,exit_reason,lots,qty,entry_spot,exit_spot,premium_in,premium_out,capital,gross,cost,net,month
2026-01-13 14:25:00,2026-01-13 14:45:00,NIFTY,short,SL,3,195,25614.9,25717.3596,257.42974499999997,203.89460400000084,50198.800274999994,-10439.35249499983,110.84637126998153,-10550.198866269811,2026-01
2026-01-14 11:20:00,2026-01-14 13:45:00,NIFTY,long,SL,3,195,25747.75,25644.759,258.7648875,204.95208999999912,50459.153062499994,-10493.495512500169,111.1764690030669,-10604.671981503236,2026-01
2026-01-14 13:10:00,2026-01-14 14:20:00,BANKNIFTY,long,SL,3,90,59702.2,59463.3912,480.0056879999999,356.42213400000054,43200.51191999999,-11122.519859999942,99.75025976394537,-11222.270119763887,2026-01
2026-01-14 14:25:00,2026-01-14 14:40:00,NIFTY,short,SL,2,130,25610.85,25713.2934,257.38904249999996,203.86236599999992,33460.57552499999,-6958.467945000005,89.62420538149804,-7048.0921503815025,2026-01
2026-01-16 13:30:00,2026-01-16 15:10:00,BANKNIFTY,long,TIME,3,90,60033.8,60104.0,482.671752,512.7935479999986,43440.45768,2710.9616399998736,114.48672994571788,2596.4749100541558,2026-01
2026-01-19 13:50:00,2026-01-19 15:10:00,NIFTY,long,TIME,2,130,25574.8,25571.7,257.02673999999996,252.9270100000007,33413.4762,-532.9648999999031,96.2338356628251,-629.1987356627282,2026-01
2026-01-20 14:10:00,2026-01-20 15:10:00,BANKNIFTY,short,TIME,3,90,59516.85,59366.5,478.5154739999999,548.5532509999994,43066.39265999999,6303.39992999995,117.66605376497343,6185.733876234976,2026-01
2026-01-21 13:05:00,2026-01-21 13:10:00,BANKNIFTY,long,SL,3,90,59215.3,58978.4388,476.091012,353.5153410000004,42848.19108,-11031.810389999964,99.32168725775522,-11131.13207725772,2026-01
2026-01-22 14:35:00,2026-01-22 15:10:00,BANKNIFTY,long,TIME,3,90,59213.45,59272.9,476.07613799999996,500.91543700000216,42846.852419999996,2235.536910000198,113.1115592034447,2122.4253507967533,2026-01
2026-01-23 11:50:00,2026-01-23 13:25:00,BANKNIFTY,short,SL,3,90,58934.55,58778.35765,473.833782,546.8247121250024,42645.04038,6569.183711250218,117.3170296067566,6451.866681643462,2026-01
2026-01-23 11:40:00,2026-01-23 15:10:00,NIFTY,short,TGT,2,130,25229.7,25027.8624,253.558485,351.4497209999995,32962.60305,12725.860679999936,109.34770923933046,12616.512970760607,2026-01
2026-01-23 14:25:00,2026-01-23 15:10:00,BANKNIFTY,short,TIME,3,90,58457.6,58406.1,469.99910399999993,490.943746,42299.91935999999,1885.017780000004,111.93549679767098,1773.082283202333,2026-01
2026-01-27 13:40:00,2026-01-27 14:45:00,NIFTY,short,SL,3,195,25033.6,25133.734399999998,251.58767999999995,199.26745600000046,49059.597599999994,-10202.4436799999,109.40199180259177,-10311.845671802492,2026-01
2026-01-27 13:30:00,2026-01-27 15:10:00,BANKNIFTY,long,TGT,3,90,58799.65,59270.0472,472.74918599999995,702.0678209999998,42547.426739999995,20638.67714999998,131.7978811196264,20506.879268880355,2026-01
2026-01-28 13:25:00,2026-01-28 15:10:00,BANKNIFTY,short,TIME,3,90,59408.0,59597.7,477.64032,378.5119300000015,42987.6288,-8921.555099999863,101.72230443863512,-9023.277404438499,2026-01
2026-01-29 13:05:00,2026-01-29 15:10:00,NIFTY,long,TIME,3,195,25351.65,25421.55,254.78408249999998,287.0241674999989,49682.8960875,6286.816574999788,127.46815581225981,6159.348419187528,2026-01
2026-01-30 11:25:00,2026-01-30 13:10:00,BANKNIFTY,long,SL,3,90,59778.75,59539.635,480.62114999999994,356.87913750000104,43255.90349999999,-11136.781124999901,99.81763956544236,-11236.598764565344,2026-01
2026-01-30 13:10:00,2026-01-30 13:50:00,NIFTY,short,SL,3,195,25243.9,25344.875600000003,253.70119499999998,200.94144399999922,49471.733024999994,-10288.151445000149,109.92453266271892,-10398.075977662867,2026-01
