symbol,spot_security_id,fut_security_id,fut_expiry,lot_size
COALINDIA,20374,61143,2026-07-28,1350
COALINDIA,20374,58148,2026-08-25,1350
NTPC,11630,62717,2026-06-30,1500
NTPC,11630,61256,2026-07-28,1500
NTPC,11630,58333,2026-08-25,1500
POWERGRID,14977,62791,2026-06-30,1900
POWERGRID,14977,61278,2026-07-28,1900
POWERGRID,14977,58357,2026-08-25,1900
ONGC,2475,62738,2026-06-30,2250
ONGC,2475,61262,2026-07-28,2250
ONGC,2475,58339,2026-08-25,2250
GRASIM,1232,62588,2026-06-30,250
GRASIM,1232,61184,2026-07-28,250
GRASIM,1232,58208,2026-08-25,250
ULTRACEMCO,11532,62861,2026-06-30,50
ULTRACEMCO,11532,61312,2026-07-28,50
ULTRACEMCO,11532,58407,2026-08-25,50
TITAN,3506,62854,2026-06-30,175
TITAN,3506,61307,2026-07-28,175
TITAN,3506,58402,2026-08-25,175
NESTLEIND,17963,62714,2026-06-30,500
NESTLEIND,17963,61253,2026-07-28,500
NESTLEIND,17963,58330,2026-08-25,500
EICHERMOT,910,62566,2026-06-30,100
EICHERMOT,910,61164,2026-07-28,100
EICHERMOT,910,58181,2026-08-25,100
DIVISLAB,10940,62561,2026-06-30,100
DIVISLAB,10940,61159,2026-07-28,100
DIVISLAB,10940,58160,2026-08-25,100
DLF,14732,62563,2026-06-30,825
DLF,14732,61161,2026-07-28,950
DLF,14732,58162,2026-08-25,950
TRENT,1964,62859,2026-06-30,150
TRENT,1964,61310,2026-07-28,225
TRENT,1964,58405,2026-08-25,225
TECHM,13538,62852,2026-06-30,600
TECHM,13538,61305,2026-07-28,600
TECHM,13538,58400,2026-08-25,600
INDUSINDBK,5258,62618,2026-06-30,700
INDUSINDBK,5258,61206,2026-07-28,700
INDUSINDBK,5258,58243,2026-08-25,700
PNB,10666,62773,2026-06-30,8000
PNB,10666,61274,2026-07-28,8000
PNB,10666,58350,2026-08-25,8000
